# 《一红16年，干啥啥赚钱？｜屠龙博士创业的秘密！》— 原始转录

> **节目**：课代表立正（B站 UP 主，UID 491306902）对谈 **屠龙博士**
> **来源**：B站 · BV1krM46BEpn · 发布 2026-07-07
> **时长**：1h35m18s（5718 秒）
> **下载**：opencli bilibili download（浏览器登录态；yt-dlp 被 B站 412 反爬拦截）
> **转录**：whisper.cpp / ggml-large-v3 / Metal 加速 / 4,502 段 / 32,090 汉字 / 语速 337 字/min
> **校验源**：B站官方字幕（2,860 条，opencli bilibili subtitle 拉取）——替代小宇宙 shownotes 的修正源角色

---

[00:00:00 --> 00:00:01]  有一个网红偷我们的用户讯息
[00:50:00 --> 00:50:01]  捐点小朋友的午餐
[00:50:01 --> 00:50:02]  能让他们中午吃点鸡蛋
[00:50:02 --> 00:50:03]  这样他吃鸡蛋以后
[00:50:03 --> 00:50:05]  他就会智力发育很正常
[00:50:05 --> 00:50:06]  我们现在想做的
[00:50:06 --> 00:50:07]  不是说高级的
[00:50:07 --> 00:50:07]  让他们吃点鸡蛋
[00:50:07 --> 00:50:09]  你去给他们讲课支教
[00:50:09 --> 00:50:10]  而是让他们中午吃点鸡蛋
[00:50:10 --> 00:50:11]  他们的发育就会很厉害
[00:50:11 --> 00:50:12]  什么之那的
[00:50:12 --> 00:50:12]  所以呢
[00:50:12 --> 00:50:14]  他给我提供了一个视角
[00:50:14 --> 00:50:15]  就是说
[00:50:15 --> 00:50:15]  哦
[00:50:15 --> 00:50:17]  从此我内心
[00:50:17 --> 00:50:18]  我知道盗版书还是抓不着
[00:50:18 --> 00:50:20]  但我内心跟他和解了
[00:50:20 --> 00:50:20]  就是在于
[00:50:20 --> 00:50:21]  我抓盗版书
[00:50:21 --> 00:50:23]  不是为了自己的利润
[00:50:23 --> 00:50:23]  说实话
[00:50:23 --> 00:50:24]  我不挣利润
[00:50:24 --> 00:50:26]  一本书就挣两三毛
[00:50:26 --> 00:50:26]  你知道吧
[00:50:26 --> 00:50:28]  我觉得他是违反国家规定
[00:50:28 --> 00:50:30]  我认为他对小朋友有伤害
[00:50:30 --> 00:50:32]  我认为他的印刷是不行的
[00:50:32 --> 00:50:34]  我认为他会割小朋友的手指
[00:50:34 --> 00:50:35]  但我丈夫的观点是
[00:50:35 --> 00:50:37]  就算他们有伤害
[00:50:37 --> 00:50:38]  什么都没有强
[00:50:38 --> 00:50:41]  因为他就是看这些盗版的东西
[00:50:41 --> 00:50:43]  那纸片特别薄的东西
[00:50:43 --> 00:50:44]  把手都划伤的东西
[00:50:44 --> 00:50:45]  长大的
[00:50:45 --> 00:50:47]  他说这个很多东西
[00:50:47 --> 00:50:48]  小时候手被划得多少伤
[00:50:48 --> 00:50:49]  还在那看
[00:50:49 --> 00:50:50]  看得津津有味
[00:50:50 --> 00:50:51]  不影响
[00:50:51 --> 00:50:51]  你知道吗
[00:50:51 --> 00:50:54]  所以他给我提供了一些视角
[00:50:54 --> 00:50:54]  因此
[00:50:54 --> 00:50:56]  有很多事情
[00:50:56 --> 00:50:58]  你最终要想解决
[00:50:58 --> 00:50:58]  看到本质
[00:50:58 --> 00:50:59]  想到一个solution
[00:50:59 --> 00:51:02]  你需要的东西是一个融合
[00:51:02 --> 00:51:04]  就是把不同矛盾的东西
[00:51:04 --> 00:51:04]  融合在一起
[00:51:04 --> 00:51:06]  我再给你讲一个故事
[00:51:06 --> 00:51:07]  这故事是这样子的
[00:51:07 --> 00:51:07]  是
[00:51:07 --> 00:51:09]  有一个电影叫中国女排
[00:51:09 --> 00:51:12]  这个电影可能不是票房很高的电影
[00:51:12 --> 00:51:13]  但是我说话
[00:51:13 --> 00:51:14]  我看中国女排
[00:51:14 --> 00:51:15]  我看哭了
[00:51:15 --> 00:51:16]  看哭了为什么呢
[00:51:16 --> 00:51:17]  是因为这样的
[00:51:17 --> 00:51:19]  就我知道我说这话很无耻
[00:51:19 --> 00:51:21]  但是我真的觉得
[00:51:21 --> 00:51:23]  我自己跟郎平在某些地方很像
[00:51:23 --> 00:51:25]  不是我蹭他热度
[00:51:25 --> 00:51:25]  我是真觉得
[00:51:25 --> 00:51:27]  我自己跟郎平某些地方很像
[00:51:27 --> 00:51:28]  第一项是
[00:51:28 --> 00:51:29]  我也长得特别高
[00:51:29 --> 00:51:30]  我坐着你看不见
[00:51:30 --> 00:51:31]  我长一米八一
[00:51:31 --> 00:51:33]  我从小就个儿特别高的
[00:51:33 --> 00:51:34]  然后第二呢
[00:51:34 --> 00:51:36]  我认为我跟郎平一样
[00:51:36 --> 00:51:37]  就是小时候是很刻苦的
[00:51:37 --> 00:51:38]  很用功的
[00:51:38 --> 00:51:39]  而且很能自苦
[00:51:39 --> 00:51:40]  第三个我觉得
[00:51:40 --> 00:51:41]  我们俩都很聪明
[00:51:41 --> 00:51:44]  小时候都会想各种各样的方法训练自己
[00:51:44 --> 00:51:46]  郎平也特聪明
[00:51:46 --> 00:51:48]  他也很小的时候就跟他那个陪练教练说
[00:51:48 --> 00:51:50]  我们不能打一辈子球
[00:51:50 --> 00:51:51]  我们得读书
[00:51:51 --> 00:51:52]  然后还有一个经历就是
[00:51:52 --> 00:51:54]  出走美国很长时间
[00:51:54 --> 00:51:54]  对吧
[00:51:54 --> 00:51:56]  郎平也在美国很长时间
[00:51:56 --> 00:51:57]  这个中国女排讲的是什么呢
[00:51:57 --> 00:51:59]  讲的是一个非常复杂的故事
[00:51:59 --> 00:52:00]  这个故事就是
[00:52:00 --> 00:52:03]  郎平如何把他在美国学到的东西
[00:52:03 --> 00:52:05]  打包成礼物
[00:52:05 --> 00:52:06]  让这些人理解
[00:52:06 --> 00:52:07]  怎么能
[00:52:07 --> 00:52:12]  能把新的体制和老女排的精神融合在一起
[00:52:12 --> 00:52:15]  我要求你用新的体制来练球
[00:52:15 --> 00:52:16]  让科技去练球
[00:52:16 --> 00:52:19]  但同时你要跟当地中国的文化结合在一起
[00:52:19 --> 00:52:21]  让他明白老女排的精神也是可以的
[00:52:21 --> 00:52:22]  你要有生活
[00:52:22 --> 00:52:25]  你可以出去买东西谈恋爱
[00:52:25 --> 00:52:27]  你不要每天把所有东西都放在排球上
[00:52:27 --> 00:52:30]  但是最终这些东西要促进你对球的领悟
[00:52:30 --> 00:52:34]  你怎么把大国家对体制和这个训练方法结合
[00:52:34 --> 00:52:35]  你要把新和旧
[00:52:35 --> 00:52:37]  大家的这些土的东西
[00:52:37 --> 00:52:38]  土的一些方法
[00:52:38 --> 00:52:40]  和真正的高科技融合
[00:52:40 --> 00:52:42]  到电影最后才融合
[00:52:42 --> 00:52:44]  但是在最后那融合的那一刻
[00:52:44 --> 00:52:45]  你就夺冠了
[00:52:45 --> 00:52:47]  所以说人生是这样的
[00:52:47 --> 00:52:48]  由繁入简
[00:52:48 --> 00:52:50]  它是一个融合的过程
[00:52:50 --> 00:52:52]  就是你脑子里有很多的idea
[00:52:52 --> 00:52:53]  首先你知道出版
[00:52:53 --> 00:52:54]  你知道这个书会划上手
[00:52:54 --> 00:52:56]  你知道什么是对的
[00:52:56 --> 00:52:57]  你也知道什么是人民所需要的
[00:52:57 --> 00:52:59]  是各个阶层的人所需要的
[00:52:59 --> 00:53:01]  然后你把这些所有的东西都融合了
[00:53:01 --> 00:53:04]  那一刻你的团队就已经夺冠了
[00:53:04 --> 00:53:05]  夺冠不是
[00:53:05 --> 00:53:07]  结果是你团队
[00:53:07 --> 00:53:09]  融合的一种显化
[00:53:09 --> 00:53:12]  它只是把你团队融合显化出来了
[00:53:12 --> 00:53:14]  就像是有些人长得好看
[00:53:14 --> 00:53:17]  是他身体健康的一种显化
[00:53:17 --> 00:53:18]  显示出来了
[00:53:18 --> 00:53:20]  所以说你这个团队
[00:53:20 --> 00:53:22]  你要每天既要找好的人
[00:53:22 --> 00:53:23]  又要培养
[00:53:23 --> 00:53:25]  又要在他们困惑的时候
[00:53:25 --> 00:53:27]  给他们讲思想工作
[00:53:27 --> 00:53:28]  经常讲思想工作
[00:53:28 --> 00:53:31]  而且还得说你自己要抵住说的诱惑
[00:53:31 --> 00:53:33]  我有四个公司
[00:53:33 --> 00:53:35]  我都不允许我丈夫入国
[00:53:35 --> 00:53:37]  我都不允许我丈夫参加任何工作
[00:53:37 --> 00:53:38]  日常经营
[00:53:38 --> 00:53:40]  因为我不想让员工认为
[00:53:40 --> 00:53:41]  我这是夫妻店
[00:53:41 --> 00:53:43]  我要建立现代企业
[00:53:43 --> 00:53:44]  都不能是我的一洋堂
[00:53:44 --> 00:53:46]  所以我账户没有一分钱的股份
[00:53:46 --> 00:53:47]  没有一分钱的利益
[00:53:47 --> 00:53:48]  那也不问业务
[00:53:48 --> 00:53:50]  但是因为他岁数大了
[00:53:50 --> 00:53:51]  有点思想准误
[00:53:51 --> 00:53:52]  孩子们想不通的时候
[00:53:52 --> 00:53:54]  他就天天给他们做思想工作
[00:53:54 --> 00:53:56]  跟他们聊一聊
[00:53:56 --> 00:53:57]  跟政委似的
[00:53:57 --> 00:53:58]  这是他做的一个事
[00:53:58 --> 00:53:59]  然后有的时候他们想不通了
[00:53:59 --> 00:54:00]  我也给他们聊
[00:54:00 --> 00:54:01]  对吧
[00:54:01 --> 00:54:02]  所以说这个团队建设
[00:54:02 --> 00:54:03]  就回答你的问题
[00:54:03 --> 00:54:05]  团队建设它不是一日之功
[00:54:05 --> 00:54:07]  它要不停地去筛选
[00:54:07 --> 00:54:08]  去洗刷
[00:54:08 --> 00:54:10]  不合适的人给他淘汰了
[00:54:10 --> 00:54:11]  合适的人
[00:54:11 --> 00:54:11]  有潜力的人
[00:54:11 --> 00:54:12]  你还得培养
[00:54:12 --> 00:54:13]  培养的人想不通了
[00:54:13 --> 00:54:15]  还得给他做思想工作
[00:54:15 --> 00:54:15]  就是这样
[00:54:15 --> 00:54:16]  就是跟园丁似的
[00:54:16 --> 00:54:18]  一边拔草一边浇花
[00:54:18 --> 00:54:19]  是这样子的
[00:54:19 --> 00:54:20]  非常有气氛
[00:54:20 --> 00:54:22]  我觉得我在团队培养上
[00:54:22 --> 00:54:23]  花的时间是不够的
[00:54:23 --> 00:54:25]  领导这些方面都是不够的
[00:54:25 --> 00:54:26]  讲一个特别接地气的例子
[00:54:26 --> 00:54:29]  你可能觉得你讲得很充分了
[00:54:29 --> 00:54:29]  但是你在学校里
[00:54:29 --> 00:54:30]  我跟你讲
[00:54:30 --> 00:54:31]  你有时候在中学发通知
[00:54:31 --> 00:54:33]  说明天咱们早上起来
[00:54:33 --> 00:54:35]  大家穿白色的校服
[00:54:35 --> 00:54:36]  八点半在东门
[00:54:36 --> 00:54:37]  穿白色的校服集合
[00:54:37 --> 00:54:39]  然后咱们去春游
[00:54:39 --> 00:54:40]  然后你发这个通知以后
[00:54:40 --> 00:54:42]  一会儿就有小朋友问
[00:54:42 --> 00:54:43]  老师穿哪个校服
[00:54:43 --> 00:54:45]  一会儿老师在哪个门
[00:54:45 --> 00:54:47]  一会儿老师几点集合
[00:54:47 --> 00:54:48]  一会儿老师
[00:54:48 --> 00:54:49]  我们看哪个花集合
[00:54:49 --> 00:54:50]  你听我说
[00:54:50 --> 00:54:51]  马什么梅
[00:54:51 --> 00:54:52]  马什么东
[00:54:52 --> 00:54:54]  讲这么一个简单的通知
[00:54:54 --> 00:54:55]  人都这样
[00:54:55 --> 00:54:57]  都天天这这这这这
[00:54:57 --> 00:54:59]  所以你带团队就是这样
[00:54:59 --> 00:55:01]  你有的时候觉得说
[00:55:01 --> 00:55:02]  我这个事已经讲了十遍了
[00:55:02 --> 00:55:04]  但还是有小朋友没听清楚呢
[00:55:04 --> 00:55:05]  我都觉得说
[00:55:05 --> 00:55:06]  哎呀
[00:55:06 --> 00:55:06]  我都觉得
[00:55:06 --> 00:55:07]  你怎么都那么废话
[00:55:07 --> 00:55:08]  跟教导主任一样
[00:55:08 --> 00:55:08]  对吧
[00:55:08 --> 00:55:09]  但是他们确实没有听见
[00:55:09 --> 00:55:11]  没道理
[00:55:11 --> 00:55:11]  没道理
[00:55:11 --> 00:55:13]  一个回应就是学习
[00:55:13 --> 00:55:15]  其实我最近在社区里面
[00:55:15 --> 00:55:15]  发了一个文章啊
[00:55:15 --> 00:55:17]  那个文章就是说
[00:55:17 --> 00:55:18]  大家学习的时候
[00:55:18 --> 00:55:19]  关注的是名词
[00:55:19 --> 00:55:20]  但实际上呢
[00:55:20 --> 00:55:21]  你真正的学习就是动词
[00:55:21 --> 00:55:22]  就是那个
[00:55:22 --> 00:55:23]  你懂很多概念的人
[00:55:23 --> 00:55:26]  他其实就停留在概念上
[00:55:26 --> 00:55:26]  纸上谈兵是吧
[00:55:26 --> 00:55:27]  然后茶饭推演
[00:55:27 --> 00:55:28]  但是实际上
[00:55:28 --> 00:55:29]  你真的去做的话
[00:55:29 --> 00:55:31]  你在那个动词中才发现
[00:55:31 --> 00:55:31]  就这个东西
[00:55:31 --> 00:55:33]  你其实是没有办法
[00:55:33 --> 00:55:34]  完全用语言形容出来的
[00:55:34 --> 00:55:36]  都是一些体感积累在身上
[00:55:36 --> 00:55:36]  对
[00:55:36 --> 00:55:37]  你看你比如说
[00:55:37 --> 00:55:38]  咱们那次聊天嘛
[00:55:38 --> 00:55:39]  就是你在网上看
[00:55:39 --> 00:55:41]  说也网红有乱象
[00:55:41 --> 00:55:42]  你可能不懂
[00:55:42 --> 00:55:42]  什么叫网红乱象
[00:55:42 --> 00:55:44]  我跟你讲这个故事
[00:55:44 --> 00:55:44]  我就说
[00:55:44 --> 00:55:46]  我有的那个很年轻的
[00:55:46 --> 00:55:47]  十几岁的少女
[00:55:47 --> 00:55:48]  长得非常漂亮
[00:55:48 --> 00:55:49]  然后呢
[00:55:49 --> 00:55:49]  就在那直播
[00:55:49 --> 00:55:51]  然后就有几个很坏的男的
[00:55:51 --> 00:55:52]  给他们控制住了
[00:55:52 --> 00:55:53]  然后呢
[00:55:53 --> 00:55:54]  你有品牌商过去以后
[00:55:54 --> 00:55:55]  他们就实际上来说
[00:55:55 --> 00:55:56]  是一种性贿赂
[00:55:56 --> 00:55:57]  就叫品牌商
[00:55:57 --> 00:55:58]  跟着他们一起去蹦迪
[00:55:58 --> 00:56:00]  因为我们都读过书
[00:56:00 --> 00:56:02]  所以我们就受不了这种现象
[00:56:02 --> 00:56:04]  我在有一个美妆公司的
[00:56:04 --> 00:56:05]  管销售的那个男孩
[00:56:05 --> 00:56:05]  是我管陪生
[00:56:05 --> 00:56:06]  是我学生
[00:56:06 --> 00:56:07]  然后他就给我打电话
[00:56:07 --> 00:56:08]  说杨老师
[00:56:08 --> 00:56:08]  很奇怪
[00:56:08 --> 00:56:10]  这几个男的要带我
[00:56:10 --> 00:56:12]  让我跟那几个少女去蹦迪
[00:56:12 --> 00:56:13]  我说那你还想什么
[00:56:13 --> 00:56:13]  赶快跑
[00:56:13 --> 00:56:14]  对吧
[00:56:14 --> 00:56:16]  别再他们给你搞了新人跳
[00:56:16 --> 00:56:17]  对吧
[00:56:17 --> 00:56:17]  搞了新人跳
[00:56:17 --> 00:56:18]  你怎么脱身呢
[00:56:18 --> 00:56:19]  然后我再说
[00:56:19 --> 00:56:21]  有人从我仓库偷东西
[00:56:21 --> 00:56:22]  我给他们装了大铁笼
[00:56:22 --> 00:56:23]  还有就是
[00:56:23 --> 00:56:26]  有一个网红偷我们的用户讯息
[00:56:26 --> 00:56:27]  我们都不知道他从哪偷的
[00:56:27 --> 00:56:28]  我们就几个人坐在那
[00:56:28 --> 00:56:29]  刚开始创业
[00:56:29 --> 00:56:31]  几个人在那半夜判案
[00:56:31 --> 00:56:32]  有可能淘宝泄露我们消息
[00:56:32 --> 00:56:34]  还是微博泄露我们消息
[00:56:34 --> 00:56:34]  后来我们觉得
[00:56:34 --> 00:56:36]  这些大平台都不质疑
[00:56:36 --> 00:56:37]  完全没有头绪
[00:56:37 --> 00:56:38]  谁泄露消息
[00:56:38 --> 00:56:39]  结果发现
[00:56:39 --> 00:56:40]  这玩意儿是
[00:56:40 --> 00:56:41]  团队一个小姑娘
[00:56:41 --> 00:56:42]  突然刷朋友圈说
[00:56:42 --> 00:56:44]  咱们公司离职那财务
[00:56:44 --> 00:56:45]  怎么突然换了辆法拉利
[00:56:45 --> 00:56:47]  他怎么这么有钱
[00:56:47 --> 00:56:47]  你知道吗
[00:56:47 --> 00:56:49]  我就慌人大悟
[00:56:49 --> 00:56:50]  我说这私人钱是从哪来的
[00:56:50 --> 00:56:51]  对吧
[00:56:51 --> 00:56:52]  然后我们才顺藤摸瓜
[00:56:52 --> 00:56:54]  发现是他泄露的
[00:56:54 --> 00:56:56]  当然最后也没有走上法庭
[00:56:56 --> 00:56:57]  最后就跟底下的
[00:56:57 --> 00:56:58]  就把他们骂了一顿
[00:56:58 --> 00:57:00]  但是我想说的是
[00:57:00 --> 00:57:02]  只有你真正下场了
[00:57:02 --> 00:57:03]  你遇上这么多
[00:57:03 --> 00:57:04]  这么乱的事
[00:57:04 --> 00:57:06]  包括你得去灭火
[00:57:06 --> 00:57:07]  然后呢
[00:57:07 --> 00:57:07]  就是比如说
[00:57:07 --> 00:57:08]  你在代工厂
[00:57:08 --> 00:57:10]  别人代工别的品牌
[00:57:10 --> 00:57:11]  你得往前挤
[00:57:11 --> 00:57:12]  你得跟代工厂说
[00:57:12 --> 00:57:13]  我这个东西
[00:57:13 --> 00:57:14]  虽然量小
[00:57:14 --> 00:57:15]  但是以后
[00:57:15 --> 00:57:16]  我都在你这下单什么的
[00:57:16 --> 00:57:18]  你给跟别人交朋友
[00:57:18 --> 00:57:19]  让别人相信你
[00:57:19 --> 00:57:20]  你只有干了一大堆
[00:57:20 --> 00:57:21]  这样的事的时候
[00:57:21 --> 00:57:21]  你才知道
[00:57:21 --> 00:57:23]  原来打仗的时候
[00:57:23 --> 00:57:25]  这是一脸血一脸泥
[00:57:25 --> 00:57:26]  比如说我们公司斗争
[00:57:26 --> 00:57:28]  我要搞一些资源
[00:57:28 --> 00:57:29]  然后经常有人半夜
[00:57:29 --> 00:57:30]  打电话骂我
[00:57:30 --> 00:57:32]  然后我再打电话骂回去
[00:57:32 --> 00:57:32]  对吧
[00:57:32 --> 00:57:34]  还有人跑直播间来
[00:57:34 --> 00:57:34]  说要杀了我
[00:57:34 --> 00:57:35]  我说你随便
[00:57:35 --> 00:57:36]  对吧
[00:57:36 --> 00:57:37]  这种事情都是很多的
[00:57:37 --> 00:57:38]  所以我觉得
[00:57:38 --> 00:57:40]  你就一脸血一脸泥的时候
[00:57:40 --> 00:57:41]  你才会发现
[00:57:41 --> 00:57:42]  原来打仗是这样的
[00:57:42 --> 00:57:44]  不是简简单单杀盘推远
[00:57:44 --> 00:57:45]  但是我认为
[00:57:45 --> 00:57:47]  我做research时间很长了
[00:57:47 --> 00:57:49]  所以我留下了一个
[00:57:49 --> 00:57:50]  很深的习惯
[00:57:50 --> 00:57:51]  就是打得再断
[00:57:51 --> 00:57:52]  我也能记住
[00:57:52 --> 00:57:53]  我在输了谁的话
[00:57:53 --> 00:57:55]  能记住模型
[00:57:55 --> 00:57:56]  能记住我导师告诉我的东西
[00:57:56 --> 00:57:57]  我不会下场
[00:57:57 --> 00:57:58]  跟他们一起
[00:57:58 --> 00:57:59]  一起当土匪的
[00:57:59 --> 00:58:00]  我还是会回来
[00:58:00 --> 00:58:01]  怎么能够秩序
[00:58:01 --> 00:58:02]  怎么能够胜利
[00:58:02 --> 00:58:04]  我觉得这个是很重要的
[00:58:04 --> 00:58:05]  是你独特的竞争力
[00:58:05 --> 00:58:06]  我想请你再多讲一讲
[00:58:06 --> 00:58:08]  不管是故事也好
[00:58:08 --> 00:58:09]  或者说一些体感也好
[00:58:09 --> 00:58:11]  还是你的一些认知转变也好
[00:58:11 --> 00:58:12]  可不可以再跟大家讲
[00:58:12 --> 00:58:13]  因为你刚刚讲的这些故事
[00:58:13 --> 00:58:14]  大家听了已经
[00:58:14 --> 00:58:15]  什么什么什么
[00:58:15 --> 00:58:16]  完全是我从来没有听说过
[00:58:16 --> 00:58:18]  对
[00:58:18 --> 00:58:19]  可以再跟大家讲一点吗
[00:58:19 --> 00:58:20]  类似这样的故事
[00:58:20 --> 00:58:22]  我给大家讲几个
[00:58:22 --> 00:58:23]  想到哪儿讲到哪儿
[00:58:23 --> 00:58:24]  但是我不是说
[00:58:24 --> 00:58:26]  只有护品行业是乱的
[00:58:26 --> 00:58:27]  有很多行业都是乱的
[00:58:27 --> 00:58:27]  刚才比如说
[00:58:27 --> 00:58:29]  比如说出版行业
[00:58:29 --> 00:58:30]  就是有那种出版行业
[00:58:30 --> 00:58:32]  他们到晚是放到山区里
[00:58:32 --> 00:58:35]  就山区的那种大神交界之处
[00:58:35 --> 00:58:35]  这种事很有
[00:58:35 --> 00:58:37]  出版社自己是国营单位
[00:58:37 --> 00:58:38]  国营单位
[00:58:38 --> 00:58:40]  他会怎么讲呢
[00:58:40 --> 00:58:41]  背刺经销商
[00:58:41 --> 00:58:42]  背刺网红和经销商
[00:58:42 --> 00:58:43]  就是你比如说
[00:58:43 --> 00:58:44]  他给你这个本书
[00:58:44 --> 00:58:45]  你给带火了
[00:58:45 --> 00:58:47]  说好了最低空价38块钱
[00:58:47 --> 00:58:48]  实际上38块钱
[00:58:48 --> 00:58:49]  大家都不挣钱
[00:58:49 --> 00:58:50]  我挣一块钱
[00:58:50 --> 00:58:50]  他挣一块钱
[00:58:50 --> 00:58:51]  咱们举个例子
[00:58:51 --> 00:58:53]  比如说这本书成本就36块钱
[00:58:53 --> 00:58:54]  他跟你说
[00:58:54 --> 00:58:55]  图东老师你带38块钱
[00:58:55 --> 00:58:56]  我38块钱带了以后
[00:58:56 --> 00:58:58]  可能出版社就挣一块钱
[00:58:58 --> 00:58:59]  36块钱到38块钱
[00:58:59 --> 00:59:00]  这两块钱
[00:59:00 --> 00:59:01]  出版社一块
[00:59:01 --> 00:59:01]  我一块
[00:59:01 --> 00:59:02]  本来就说好了
[00:59:02 --> 00:59:03]  然后你给带火了
[00:59:03 --> 00:59:04]  一下出了两万本
[00:59:04 --> 00:59:05]  然后出版社
[00:59:05 --> 00:59:06]  马上债价到三十几块钱
[00:59:06 --> 00:59:07]  他不挣钱
[00:59:07 --> 00:59:08]  这种事是很多的
[00:59:08 --> 00:59:09]  经常背刺这种
[00:59:09 --> 00:59:10]  就是你知道吧
[00:59:10 --> 00:59:11]  你网红啊
[00:59:11 --> 00:59:12]  或者经销商书店
[00:59:12 --> 00:59:12]  是这样子的
[00:59:12 --> 00:59:13]  还有就是
[00:59:13 --> 00:59:14]  有些知识分子
[00:59:14 --> 00:59:15]  他会卖惨哭穷
[00:59:15 --> 00:59:16]  就是我就见过这种
[00:59:16 --> 00:59:18]  就是他经常背刺经销商
[00:59:18 --> 00:59:20]  经常背刺网红
[00:59:20 --> 00:59:21]  然后他就跑到
[00:59:21 --> 00:59:22]  那种大的播客
[00:59:22 --> 00:59:23]  说我们卖书的人
[00:59:23 --> 00:59:24]  靠的都是情怀
[00:59:24 --> 00:59:25]  什么这那这那的
[00:59:25 --> 00:59:26]  然后他把他自己
[00:59:26 --> 00:59:27]  背刺别人的事
[00:59:27 --> 00:59:28]  给无从传承
[00:59:28 --> 00:59:29]  就是有很多人
[00:59:29 --> 00:59:30]  他很假的
[00:59:30 --> 00:59:31]  他很假
[00:59:31 --> 00:59:32]  我有的时候
[00:59:32 --> 00:59:33]  我说我自己想做这些事
[00:59:33 --> 00:59:35]  我确实挺知情合一的
[00:59:35 --> 00:59:36]  然后呢我也不假
[00:59:36 --> 00:59:37]  我就觉得说
[00:59:37 --> 00:59:38]  我自己就会
[00:59:38 --> 00:59:39]  考虑一个事情
[00:59:39 --> 00:59:40]  就是我认为这个事很正义
[00:59:40 --> 00:59:41]  同时我又能挣到钱
[00:59:41 --> 00:59:42]  我会考虑这个事
[00:59:42 --> 00:59:43]  我也不是说很假的
[00:59:43 --> 00:59:45]  说我就是完全为了情怀
[00:59:45 --> 00:59:46]  那不是很假吗
[00:59:46 --> 00:59:47]  然后有一些人他很假
[00:59:47 --> 00:59:48]  他在播客上
[00:59:48 --> 00:59:49]  说他是为了情怀
[00:59:49 --> 00:59:51]  实际上他背刺过很多经销商
[00:59:52 --> 00:59:53]  然后看着他流量特别大吧
[00:59:53 --> 00:59:54]  你还不能反驳他
[00:59:54 --> 00:59:55]  反驳他的话
[00:59:55 --> 00:59:56]  对你这那的事还是更多
[00:59:56 --> 00:59:58]  因为有很多观众
[00:59:58 --> 01:00:00]  他是不明所以的
[01:00:00 --> 01:00:01]  我再给你举个例子
[01:00:01 --> 01:00:03]  我曾经参加过一个巨佬的会议
[01:00:03 --> 01:00:04]  一个巨佬
[01:00:04 --> 01:00:06]  他卖海鲜品牌
[01:00:06 --> 01:00:07]  然后他就说他要上量
[01:00:07 --> 01:00:08]  因为他的流量真的很大
[01:00:08 --> 01:00:09]  他流量很大
[01:00:09 --> 01:00:10]  他是个巨佬
[01:00:10 --> 01:00:12]  就他有平台流量
[01:00:12 --> 01:00:13]  平台流量特别大
[01:00:13 --> 01:00:14]  然后他卖海鲜
[01:00:14 --> 01:00:17]  他只流百分之几的毛利
[01:00:17 --> 01:00:18]  也就是说几亿的海鲜
[01:00:18 --> 01:00:20]  他只流百分之几
[01:00:20 --> 01:00:21]  就几百万的毛利
[01:00:21 --> 01:00:22]  然后他就说
[01:00:22 --> 01:00:23]  我一定要毛利足够低
[01:00:23 --> 01:00:25]  这样把所有的小商小贩都淹死
[01:00:25 --> 01:00:26]  我跟他开会的时候
[01:00:26 --> 01:00:27]  内心觉得很不适
[01:00:27 --> 01:00:29]  因为我觉得我们做生意
[01:00:29 --> 01:00:31]  就是为了让老百姓挣到钱
[01:00:31 --> 01:00:33]  你也让渔民挣一点钱
[01:00:33 --> 01:00:34]  渔民跟你没有仇
[01:00:34 --> 01:00:35]  对吧
[01:00:35 --> 01:00:36]  捕鱼多辛苦啊
[01:00:36 --> 01:00:37]  你摸摸自己的良心
[01:00:37 --> 01:00:39]  那吃帝王蟹的人
[01:00:39 --> 01:00:40]  差这一块半块吗
[01:00:40 --> 01:00:41]  我就说有些东西
[01:00:41 --> 01:00:43]  他一定要控制价格
[01:00:43 --> 01:00:44]  你控制价格
[01:00:44 --> 01:00:45]  才能保证老百姓
[01:00:45 --> 01:00:46]  能挣到足够的钱
[01:00:46 --> 01:00:48]  但老百姓不懂这道理
[01:00:48 --> 01:00:49]  我每次在网上
[01:00:49 --> 01:00:50]  给他们讲道理的时候
[01:00:50 --> 01:00:51]  他们就说拼多多就是好
[01:00:51 --> 01:00:52]  哪哪哪就是好
[01:00:52 --> 01:00:53]  因为他让我
[01:00:53 --> 01:00:54]  更便宜的买到东西了
[01:00:54 --> 01:00:55]  我就要便宜
[01:00:55 --> 01:00:56]  我就要谁谁
[01:00:56 --> 01:00:57]  价格打下来吧
[01:00:57 --> 01:00:59]  他们不懂通缩循环的
[01:00:59 --> 01:01:00]  你知道意思吗
[01:01:00 --> 01:01:01]  我这是一肚子气
[01:01:01 --> 01:01:02]  一肚子气
[01:01:02 --> 01:01:03]  我替他们这些老百姓说话
[01:01:03 --> 01:01:05]  还经常受到老百姓的攻击
[01:01:05 --> 01:01:06]  为什么他不懂通缩循环
[01:01:06 --> 01:01:08]  我说就是因为
[01:01:08 --> 01:01:10]  他把利润给吃没了
[01:01:10 --> 01:01:12]  每个人都要把利润给吃没了
[01:01:12 --> 01:01:14]  才会导致你拿的工资那么少
[01:01:14 --> 01:01:17]  你不需要买那么多便宜的东西
[01:01:17 --> 01:01:18]  拼多多让那些便宜的头绳
[01:01:18 --> 01:01:19]  那些便宜的耳环
[01:01:19 --> 01:01:21]  你到底要买多少呢
[01:01:21 --> 01:01:22]  你真正需要的是
